Tutorial Group,Project Group,Student ID,School,Name,Gender,CGPA
1,A,5708,SoH,Ananya Ramesh,Male,4.2
1,A,2417,SSS,Truong Minh Chau,Female,3.88
1,A,1417,CoE,Darren Lee,Male,4.12
1,A,2115,EEE,Anya Kumar,Female,4.03
1,A,3628,EEE,Omer Ahmed,Male,4.06
1,B,1329,NIE,Nguyen Van Sam,Male,3.85
1,B,3861,ASE,Layla Torres,Female,4.52
1,B,5002,CCDS,Aarav Singh,Male,4.02
1,B,659,SSS,Maria Ivanovna,Female,4.2
1,B,1271,SSS,Priya Singh,Female,4.17
1,C,2091,EEE,Adlan Bin Rahman,Male,4.2
1,C,2353,SBS,Karen Wong,Female,3.95
1,C,4520,EEE,Henry Foster,Male,4.11
1,C,567,CoB (NBS),Isabella Thompson,Female,4.03
1,C,5703,SPMS,Karen Lee,Female,4.12
1,D,3148,EEE,Gabriel Young,Male,3.88
1,D,2069,SSS,Kathy Lau,Female,4.48
1,D,4576,EEE,Jie Zhang,Male,4.03
1,D,71,SoH,Savannah Taylor,Female,4.19
1,D,592,MSE,Zara Chang,Female,4.11
1,E,3989,WKW SCI,Anthony Liu,Male,4.15
1,E,2326,CoB (NBS),Vivi Dwi,Female,3.95
1,E,5477,SoH,Vikram Desai,Male,4.09
1,E,75,CCDS,Sakina Ahmed,Female,4.03
1,E,4479,CCDS,Amelia Kim,Female,4.11
1,F,1645,CoE,Zachary Wu,Male,3.93
1,F,809,CoB (NBS),Nisha Das,Female,4.26
1,F,588,MAE,Lucas Walker,Male,4.06
1,F,1383,CoB (NBS),Areeba Khan,Female,4.19
1,F,945,MAE,Han Li,Female,4.1
1,G,2776,CCEB,Siddharth Nair,Male,4.14
1,G,4563,WKW SCI,Anjali Patel,Female,4.01
1,G,2818,CoB (NBS),Oliver Tan,Male,4.09
1,G,5119,ADM,Nhung Vu,Female,4.04
1,G,2650,SoH,Nurul Shafika,Female,4.09
1,H,4657,SoH,Oleg Petrovich,Male,4.0
1,H,4338,SPMS,Sana Jain,Female,4.22
1,H,235,CCDS,Ming Zhang,Male,4.06
1,H,3930,EEE,Xun Wei,Female,4.18
1,H,4402,CCDS,Grace Turner,Female,4.08
1,I,1841,MAE,Jett Morales,Male,4.12
1,I,2151,EEE,Mei Hong,Female,4.02
1,I,1075,CoB (NBS),Felix Yip,Male,4.08
1,I,1555,MAE,Prerna Gupta,Female,4.04
1,I,162,SSS,Lila Patel,Female,4.07
1,J,288,CoB (NBS),Ajay Verma,Male,4.01
1,J,4820,CoE,Meera Singh,Female,4.22
1,J,527,EEE,Mohit Desai,Male,4.06
1,J,2230,CoB (NBS),Harlow Wang,Female,4.18
1,J,3838,EEE,Aarti Nair,Female,4.05
10,A,4077,SoH,Yasir Ahmad,Male,4.52
10,A,2405,ASE,Soo-Young Kim,Female,3.88
10,A,1468,MAE,Ming Wei,Male,4.19
10,A,2515,CoE,Tanya Lee,Female,4.04
10,A,4020,CoB (NBS),Leo Xu,Male,4.12
10,B,3903,CoE,Xiao Chen,Male,3.86
10,B,403,SoH,Hae-Jin Lee,Female,4.52
10,B,516,ADM,Tao Liu,Male,4.05
10,B,1139,SPMS,Nurul Aini Binti Ahmad,Female,4.2
10,B,223,MAE,Jaxon Hall,Male,4.12
10,C,4308,MAE,Sho Nakajima,Male,4.27
10,C,2581,ASE,Alyssa Green,Female,3.94
10,C,2031,CCDS,Kendrick Alvarado,Male,4.18
10,C,375,SBS,Kaya Chang,Female,4.05
10,C,4108,MAE,Rizan Bin Ahmad,Male,4.11
10,D,3395,CoB (NBS),Michael Miller,Male,3.95
10,D,3499,CCDS,Kira Yamada,Female,4.26
10,D,3841,SBS,Benjamin Turner,Male,4.06
10,D,594,MAE,Ananya Singh,Female,4.2
10,D,5624,EEE,Cheng Zhang,Male,4.11
10,E,4477,SPMS,Yuzhi,Male,4.25
10,E,3364,MAE,Rhea Kapoor,Female,4.0
10,E,2253,EEE,Dante Wu,Male,4.18
10,E,2631,CCDS,Kiara Lin,Female,4.06
10,E,2255,CoE,Xander Cook,Male,4.1
10,F,3388,EEE,Zaki Bin Ibrahim,Male,4.0
10,F,2857,SoH,Tianming,Female,4.2
10,F,3051,LKCMedicine,Hunter Wilson,Male,4.06
10,F,3843,EEE,Mia Zhang,Female,4.18
